station_id,variant,entry_ts,exit_ts,source_run
S12,MODEL_A,1970-01-01T00:48:35.995000+00:00,1970-01-01T00:53:47.537000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:49:25.867000+00:00,1970-01-01T00:54:54.941000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:50:33.527000+00:00,1970-01-01T00:55:45.656000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:52:10.112000+00:00,1970-01-01T00:56:41.268000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:52:48.092000+00:00,1970-01-01T00:58:08.436000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:53:47.694000+00:00,1970-01-01T00:58:55.076000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:54:45.318000+00:00,1970-01-01T00:59:35.972000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:55:33.207000+00:00,1970-01-01T01:00:29.826000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:56:46.706000+00:00,1970-01-01T01:01:12.876000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:57:39.821000+00:00,1970-01-01T01:02:44.104000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:58:16.358000+00:00,1970-01-01T01:03:25.992000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:59:29.697000+00:00,1970-01-01T01:04:36.983000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:00:28.998000+00:00,1970-01-01T01:05:17.453000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:01:18.391000+00:00,1970-01-01T01:05:59.776000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:02:42.691000+00:00,1970-01-01T01:07:16.146000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:03:37.603000+00:00,1970-01-01T01:08:10.903000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:04:43.121000+00:00,1970-01-01T01:09:03.983000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:05:58.201000+00:00,1970-01-01T01:10:27.286000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:06:46.217000+00:00,1970-01-01T01:11:14.449000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:07:51.793000+00:00,1970-01-01T01:12:36.457000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:08:45.734000+00:00,1970-01-01T01:14:07.894000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:09:55.508000+00:00,1970-01-01T01:15:28.298000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:10:55.415000+00:00,1970-01-01T01:16:23.974000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:11:58.077000+00:00,1970-01-01T01:17:23.618000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:12:40.097000+00:00,1970-01-01T01:18:34.542000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:13:43.295000+00:00,1970-01-01T01:19:38.516000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:14:41.336000+00:00,1970-01-01T01:20:43.454000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:15:30.144000+00:00,1970-01-01T01:21:37.627000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:16:02.297000+00:00,1970-01-01T01:22:41.730000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:16:58.605000+00:00,1970-01-01T01:23:45.336000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:17:37.172000+00:00,1970-01-01T01:24:36.107000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:18:39.066000+00:00,1970-01-01T01:25:32.230000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:19:33.259000+00:00,1970-01-01T01:26:33.132000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:20:21.199000+00:00,1970-01-01T01:27:49.937000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:21:29.626000+00:00,1970-01-01T01:28:44.842000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:22:34.461000+00:00,1970-01-01T01:29:49.090000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:23:22.209000+00:00,1970-01-01T01:30:30.128000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:24:22.324000+00:00,1970-01-01T01:31:46.821000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:25:15.676000+00:00,1970-01-01T01:32:35.697000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:26:07.552000+00:00,1970-01-01T01:33:18.779000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:27:10.638000+00:00,1970-01-01T01:34:28.185000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:28:07.501000+00:00,1970-01-01T01:35:28.041000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:28:57.075000+00:00,1970-01-01T01:36:19.360000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:29:57.738000+00:00,1970-01-01T01:37:20.241000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:30:45.704000+00:00,1970-01-01T01:38:22.433000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:31:54.267000+00:00,1970-01-01T01:39:51.571000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:32:38.654000+00:00,1970-01-01T01:41:02.312000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:33:49.316000+00:00,1970-01-01T01:42:07.973000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:34:58.282000+00:00,1970-01-01T01:43:19.210000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:35:53.045000+00:00,1970-01-01T01:44:19.205000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:36:53.655000+00:00,1970-01-01T01:45:04.535000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:37:46.574000+00:00,1970-01-01T01:45:56.253000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:38:40.664000+00:00,1970-01-01T01:46:35.270000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:39:35.278000+00:00,1970-01-01T01:48:05.937000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:40:49.207000+00:00,1970-01-01T01:49:00.400000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:41:51.697000+00:00,1970-01-01T01:49:47.807000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:42:38.568000+00:00,1970-01-01T01:50:24.520000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:43:31.059000+00:00,1970-01-01T01:51:34.147000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:44:22.932000+00:00,1970-01-01T01:52:20.689000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:45:25.458000+00:00,1970-01-01T01:53:32.680000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:46:31.973000+00:00,1970-01-01T01:54:31.316000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:48:03.261000+00:00,1970-01-01T01:55:37.359000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:48:54.525000+00:00,1970-01-01T01:56:47.369000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:49:42.914000+00:00,1970-01-01T01:57:49.091000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:50:37.151000+00:00,1970-01-01T01:58:26.531000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:51:24+00:00,1970-01-01T01:59:22.921000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:52:16.930000+00:00,1970-01-01T02:00:44.154000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:53:52.555000+00:00,1970-01-01T02:01:36.955000+00:00,run_0003
S12,MODEL_B,1970-01-01T01:54:44.383000+00:00,1970-01-01T02:02:35.198000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:55:36.145000+00:00,1970-01-01T02:03:57.240000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:56:26.515000+00:00,1970-01-01T02:04:44.055000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:57:23.175000+00:00,1970-01-01T02:05:54.303000+00:00,run_0003
S12,MODEL_A,1970-01-01T01:58:27.716000+00:00,1970-01-01T02:06:39.509000+00:00,run_0003
